"rater","selected","weight"
"S22","S1","1.0"
"S11","S1","5.0"
"S31","S1","1.0"
"S3","S1","1.0"
"S17","S1","1.0"
"S30","S1","1.0"
"S23","S1","1.0"
"S33","S2","3.0"
"S22","S2","1.0"
"S26","S2","2.0"
"S31","S2","1.0"
"S3","S2","1.0"
"S17","S2","1.0"
"S30","S2","1.0"
"S32","S3","1.0"
"S22","S3","1.0"
"S31","S3","1.0"
"S17","S3","1.0"
"S30","S3","1.0"
"S6","S3","5.0"
"S12","S3","1.0"
"S22","S4","1.0"
"S26","S4","4.0"
"S31","S4","1.0"
"S3","S4","1.0"
"S17","S4","1.0"
"S30","S4","1.0"
"S29","S4","2.0"
"S22","S5","1.0"
"S31","S5","4.0"
"S3","S5","1.0"
"S17","S5","1.0"
"S30","S5","1.0"
"S16","S5","3.0"
"S32","S6","2.0"
"S22","S6","1.0"
"S31","S6","1.0"
"S3","S6","5.0"
"S17","S6","1.0"
"S30","S6","1.0"
"S22","S7","1.0"
"S31","S7","1.0"
"S3","S7","1.0"
"S17","S7","1.0"
"S30","S7","1.0"
"S37","S7","1.0"
"S2","S7","4.0"
"S22","S8","1.0"
"S31","S8","1.0"
"S21","S8","2.0"
"S3","S8","1.0"
"S17","S8","1.0"
"S30","S8","1.0"
"S18","S8","1.0"
"S29","S8","1.0"
"S22","S9","1.0"
"S20","S9","1.0"
"S31","S9","1.0"
"S3","S9","1.0"
"S17","S9","1.0"
"S30","S9","1.0"
"S37","S9","3.0"
"S22","S10","1.0"
"S31","S10","1.0"
"S3","S10","1.0"
"S17","S10","1.0"
"S30","S10","1.0"
"S2","S10","3.0"
"S22","S11","1.0"
"S1","S11","3.0"
"S31","S11","1.0"
"S3","S11","1.0"
"S17","S11","1.0"
"S30","S11","1.0"
"S23","S11","4.0"
"S22","S12","1.0"
"S20","S12","1.0"
"S31","S12","1.0"
"S3","S12","1.0"
"S17","S12","1.0"
"S30","S12","1.0"
"S22","S13","1.0"
"S20","S13","1.0"
"S31","S13","1.0"
"S3","S13","1.0"
"S17","S13","1.0"
"S30","S13","1.0"
"S22","S14","1.0"
"S31","S14","1.0"
"S3","S14","1.0"
"S17","S14","1.0"
"S30","S14","1.0"
"S29","S14","1.0"
"S22","S15","1.0"
"S31","S15","1.0"
"S3","S15","1.0"
"S17","S15","1.0"
"S30","S15","1.0"
"S22","S16","1.0"
"S31","S16","5.0"
"S3","S16","1.0"
"S17","S16","1.0"
"S30","S16","2.0"
"S5","S16","4.0"
"S22","S17","1.0"
"S31","S17","1.0"
"S3","S17","1.0"
"S30","S17","1.0"
"S22","S18","1.0"
"S35","S18","2.0"
"S31","S18","1.0"
"S3","S18","1.0"
"S17","S18","1.0"
"S30","S18","1.0"
"S22","S19","5.0"
"S26","S19","3.0"
"S31","S19","1.0"
"S3","S19","1.0"
"S17","S19","1.0"
"S30","S19","2.0"
"S22","S20","1.0"
"S35","S20","1.0"
"S31","S20","1.0"
"S3","S20","1.0"
"S17","S20","1.0"
"S30","S20","1.0"
"S5","S20","3.0"
"S12","S20","1.0"
"S22","S21","1.0"
"S8","S21","1.0"
"S31","S21","1.0"
"S3","S21","1.0"
"S36","S21","5.0"
"S17","S21","1.0"
"S30","S21","1.0"
"S31","S22","1.0"
"S3","S22","1.0"
"S17","S22","1.0"
"S19","S22","3.0"
"S30","S22","2.0"
"S22","S23","1.0"
"S11","S23","5.0"
"S31","S23","1.0"
"S3","S23","1.0"
"S17","S23","1.0"
"S30","S23","1.0"
"S22","S24","1.0"
"S13","S24","1.0"
"S31","S24","1.0"
"S3","S24","1.0"
"S17","S24","1.0"
"S30","S24","1.0"
"S22","S25","1.0"
"S31","S25","1.0"
"S3","S25","1.0"
"S17","S25","1.0"
"S30","S25","1.0"
"S33","S26","3.0"
"S7","S26","3.0"
"S4","S26","4.0"
"S22","S26","1.0"
"S31","S26","1.0"
"S3","S26","1.0"
"S17","S26","1.0"
"S19","S26","1.0"
"S30","S26","1.0"
"S2","S26","2.0"
"S22","S27","1.0"
"S31","S27","1.0"
"S3","S27","1.0"
"S17","S27","1.0"
"S30","S27","1.0"
"S22","S28","1.0"
